Year,Name,Cat,Start_date,End_date
2015,FRED,Cat1,2015-08-30T00,2015-09-06T12
2015,GRACE,TS,2015-09-05T06,2015-09-09T06
2015,HENRI,TS,2015-09-08T06,2015-09-11T06
2015,NINE,TD,2015-09-15T00,2015-09-19T12
2015,IDA,TS,2015-09-15T12,2015-09-28T00
2015,JOAQUIN,Cat4,2015-09-26T18,2015-10-15T00
2015,KATE,Cat1,2015-11-08T18,2015-11-13T12
2016,ALEX,Cat1,2016-01-07T00,2016-01-17T00
2016,BONNIE,TS,2016-05-27T06,2016-06-09T18
2016,COLIN,TS,2016-06-05T12,2016-06-08T18
2016,DANIELLE,TS,2016-06-18T18,2016-06-21T06
2016,EARL,Cat1,2016-08-02T06,2016-08-06T12
2016,FIONA,TS,2016-08-16T18,2016-08-24T06
2016,GASTON,Cat2,2016-08-21T12,2016-09-03T12
2016,EIGHT,TD,2016-08-27T00,2016-09-01T00
2016,HERMINE,TS,2016-08-28T18,2016-09-08T18
2016,IAN,TS,2016-09-12T00,2016-09-17T00
